--- TRADE LOG ---
2016-08-30 14:20:00+05:30 → 2016-09-06 12:10:00+05:30 | SHORT | Entry: ₹8725.1 | Exit: ₹8901.45 | PnL: ₹-101.07 | Return: -2.02% | Capital Left: ₹51173.7
2016-09-06 12:20:00+05:30 → 2016-09-12 09:15:00+05:30 | BUY | Entry: ₹8902.95 | Exit: ₹8724.2 | PnL: ₹-100.39 | Return: -2.01% | Capital Left: ₹51073.31
2016-09-12 09:55:00+05:30 → 2016-09-27 14:40:00+05:30 | BUY | Entry: ₹8734.15 | Exit: ₹8699.5 | PnL: ₹-19.84 | Return: -0.4% | Capital Left: ₹51053.48
2016-09-27 15:20:00+05:30 → 2016-10-03 14:50:00+05:30 | SHORT | Entry: ₹8713.5 | Exit: ₹8741.05 | PnL: ₹-15.81 | Return: -0.32% | Capital Left: ₹51037.67
2016-10-03 14:55:00+05:30 → 2016-10-18 15:15:00+05:30 | SHORT | Entry: ₹8744.3 | Exit: ₹8680.0 | PnL: ₹36.77 | Return: 0.74% | Capital Left: ₹51074.43
2016-10-18 15:20:00+05:30 → 2016-11-09 13:15:00+05:30 | SHORT | Entry: ₹8682.75 | Exit: ₹8363.15 | PnL: ₹184.06 | Return: 3.68% | Capital Left: ₹51258.49
2016-11-09 14:05:00+05:30 → 2016-11-10 10:50:00+05:30 | SHORT | Entry: ₹8442.05 | Exit: ₹8582.75 | PnL: ₹-83.34 | Return: -1.67% | Capital Left: ₹51175.16
2016-11-10 11:00:00+05:30 → 2016-11-11 09:35:00+05:30 | BUY | Entry: ₹8574.5 | Exit: ₹8403.5 | PnL: ₹-99.71 | Return: -1.99% | Capital Left: ₹51075.45
2016-11-11 09:40:00+05:30 → 2016-11-15 09:15:00+05:30 | BUY | Entry: ₹8400.15 | Exit: ₹8215.2 | PnL: ₹-110.08 | Return: -2.2% | Capital Left: ₹50965.36
2016-11-15 09:20:00+05:30 → 2016-11-21 09:20:00+05:30 | BUY | Entry: ₹8209.55 | Exit: ₹8050.5 | PnL: ₹-96.86 | Return: -1.94% | Capital Left: ₹50868.5
2016-11-21 09:40:00+05:30 → 2016-11-25 12:20:00+05:30 | SHORT | Entry: ₹8055.2 | Exit: ₹8079.2 | PnL: ₹-14.9 | Return: -0.3% | Capital Left: ₹50853.6
2016-11-25 13:00:00+05:30 → 2016-12-02 15:00:00+05:30 | BUY | Entry: ₹8071.25 | Exit: ₹8078.25 | PnL: ₹4.34 | Return: 0.09% | Capital Left: ₹50857.94
2016-12-02 15:10:00+05:30 → 2016-12-19 15:10:00+05:30 | BUY | Entry: ₹8085.65 | Exit: ₹8104.7 | PnL: ₹11.78 | Return: 0.24% | Capital Left: ₹50869.72
2016-12-20 09:40:00+05:30 → 2016-12-23 09:55:00+05:30 | BUY | Entry: ₹8112.1 | Exit: ₹7943.9 | PnL: ₹-103.68 | Return: -2.07% | Capital Left: ₹50766.04
2016-12-23 10:05:00+05:30 → 2016-12-28 09:50:00+05:30 | SHORT | Entry: ₹7949.05 | Exit: ₹8064.35 | PnL: ₹-72.52 | Return: -1.45% | Capital Left: ₹50693.52
2016-12-28 10:05:00+05:30 → 2016-12-30 14:35:00+05:30 | SHORT | Entry: ₹8070.2 | Exit: ₹8192.4 | PnL: ₹-75.72 | Return: -1.51% | Capital Left: ₹50617.8
2016-12-30 14:50:00+05:30 → 2017-01-06 10:00:00+05:30 | SHORT | Entry: ₹8194.5 | Exit: ₹8304.9 | PnL: ₹-67.37 | Return: -1.35% | Capital Left: ₹50550.44
2017-01-06 10:05:00+05:30 → 2017-04-19 09:50:00+05:30 | BUY | Entry: ₹8302.15 | Exit: ₹9081.95 | PnL: ₹469.67 | Return: 9.39% | Capital Left: ₹51020.11
2017-04-19 10:20:00+05:30 → 2017-06-27 13:35:00+05:30 | BUY | Entry: ₹9104.8 | Exit: ₹9500.8 | PnL: ₹217.48 | Return: 4.35% | Capital Left: ₹51237.59
2017-06-27 13:40:00+05:30 → 2017-08-09 13:40:00+05:30 | BUY | Entry: ₹9496.1 | Exit: ₹9923.3 | PnL: ₹224.92 | Return: 4.5% | Capital Left: ₹51462.52
2017-08-09 14:30:00+05:30 → 2017-08-11 09:15:00+05:30 | BUY | Entry: ₹9942.2 | Exit: ₹9724.35 | PnL: ₹-109.56 | Return: -2.19% | Capital Left: ₹51352.96
2017-08-11 09:35:00+05:30 → 2017-09-22 14:35:00+05:30 | BUY | Entry: ₹9737.2 | Exit: ₹9967.0 | PnL: ₹118.0 | Return: 2.36% | Capital Left: ₹51470.96
2017-09-22 15:00:00+05:30 → 2017-09-27 14:20:00+05:30 | BUY | Entry: ₹9976.0 | Exit: ₹9751.8 | PnL: ₹-112.37 | Return: -2.25% | Capital Left: ₹51358.59
2017-09-27 14:25:00+05:30 → 2017-10-04 10:00:00+05:30 | SHORT | Entry: ₹9759.1 | Exit: ₹9895.4 | PnL: ₹-69.83 | Return: -1.4% | Capital Left: ₹51288.77
2017-10-04 10:20:00+05:30 → 2017-11-09 12:50:00+05:30 | BUY | Entry: ₹9904.05 | Exit: ₹10273.4 | PnL: ₹186.45 | Return: 3.73% | Capital Left: ₹51475.21
2017-11-09 13:15:00+05:30 → 2017-11-15 12:55:00+05:30 | BUY | Entry: ₹10295.55 | Exit: ₹10137.0 | PnL: ₹-76.99 | Return: -1.54% | Capital Left: ₹51398.22
2017-11-15 13:20:00+05:30 → 2017-12-01 13:50:00+05:30 | BUY | Entry: ₹10146.8 | Exit: ₹10197.65 | PnL: ₹25.06 | Return: 0.5% | Capital Left: ₹51423.28
2017-12-01 14:10:00+05:30 → 2017-12-08 10:15:00+05:30 | SHORT | Entry: ₹10191.7 | Exit: ₹10246.75 | PnL: ₹-27.01 | Return: -0.54% | Capital Left: ₹51396.27
2017-12-08 10:50:00+05:30 → 2017-12-15 09:35:00+05:30 | SHORT | Entry: ₹10248.7 | Exit: ₹10357.1 | PnL: ₹-52.89 | Return: -1.06% | Capital Left: ₹51343.38
